cnpj;identificador_matriz_filial;razao_social;nome_fantasia;situacao;situacao_desc;data_situacao;motivo_situacao;motivo_situacao_desc;natureza_juridica;nat_jur_desc;data_inicio;ano_inicio;cnae_subclasse;subclasse_desc;cnae_classe;classe_desc;cnae_grupo;grupo_desc;cnae_divisao;divisao_desc;endereco_completo;tipo_logradouro;endereco;numero;complemento;bairro;cep;codemun;municipio;geocod_ibge_2018;nome_munic_ibge;uf;cidade_exterior;cod_pais;nome_pais;ddd1;telefone1;ddd2;telefone2;nu_ddd_fax;nu_fax;email;qualificacao;capital_social;porte_empresa;opcao_simples;data_opcao_simples;data_exclusao_simples;opcao_mei;situacao_especial;data_situacao_especial;ind_osc;id_mapa;certificado_OSCIP;macro_area_atuacao;micro_area_atuacao;n_vinc_ativos;n_vinc_def;empenhado;pago;empenhado_def;pago_def;cnae_secundaria;cnae2_classe;cnae2_classe_desc;PrecisionDepth;MatchedAddress;Longitude;Latitude
00000067000126;Matriz;LOJA SIMBOLICA UNIAO SANTELENENSE N 100;;2;;1998-07-28;00;;3999;Associação Privada;1981-07-23;1981;9430800;Atividades de associações de defesa de direitos sociais;94308;Atividades de associações de defesa de direitos sociais;943;Atividades de associações de defesa de direitos sociais;94;ATIVIDADES DE ORGANIZAÇÕES ASSOCIATIVAS;RUA DUPLANIL FARIA DE SOUZA 679;RUA;DUPLANIL FARIA DE SOUZA;679;;CENTRO;75920000;9581;SANTA HELENA DE GOIAS;;;GO;;;;;;;;;;;16;;05;0;;;N;;;1;1;;Religião;Religião;1;;;;;;;;;4 Estrelas;RUA DUPLANIL FARIA DE SOUZA 679, CENTRO, SANTA HELENA DE GOIAS, GO, 75920000;-50,6005261849996;-17,8129453059996
00000075000172;Matriz;CENTRO ESPIRITA EURIPEDES BARSANULFO;;2;;2005-11-03;00;;3999;Associação Privada;1981-07-23;1981;9491000;Atividades de organizações religiosas ou filosóficas;94910;Atividades de organizações religiosas;949;Atividades de organizações associativas não especificadas anteriormente;94;ATIVIDADES DE ORGANIZAÇÕES ASSOCIATIVAS;RUA GETULIO P. DE ALMEIDA 321;RUA;GETULIO P. DE ALMEIDA;321;;CENTRO;75920000;9581;SANTA HELENA DE GOIAS;;;GO;;;;64;36415847;;;;;;16;;05;0;;;N;;;1;1;;Religião;Religião;;;;;;;;;;1 Estrela;Santa Helena de Goiás, GO;-50,5981254319996;-17,8119747829996
00000078000106;Matriz;ASSOC DOS MORADORES DO BL 12 CONJ HAB SITIO DOS FRANCOS;;2;;2019-02-19;00;;3999;Associação Privada;1994-06-21;1994;9430800;Atividades de associações de defesa de direitos sociais;94308;Atividades de associações de defesa de direitos sociais;943;Atividades de associações de defesa de direitos sociais;94;ATIVIDADES DE ORGANIZAÇÕES ASSOCIATIVAS;AVENIDA GENERAL PENHA BRASIL 2651;AVENIDA;GENERAL PENHA BRASIL;2651;;JARDIM DOS FRANC;02673000;7107;SAO PAULO;;;SP;;;;;;;;;;;19;;05;0;;;N;;;1;1;;Desenvolvimento e defesa de direitos e interesses;Desenvolvimento e defesa de direitos;;;;;;;;;;4 Estrelas;AVENIDA GENERAL PENHA BRASIL 2651, VILA NOVA CACHOEIRINHA, SAO PAULO, SP, 02673000;-46,6752795189996;-23,4536078299996
00000082000174;Matriz;MISSAO EVANGELICA PRINCIPE DA PAZ;;4;;2018-10-23;63;OMISSÃO DE DECLARAÇÕES;3999;Associação Privada;1994-06-21;1994;8711502;Instituições de longa permanência para idosos;87115;Atividades de assistência a idosos, deficientes físicos, imunodeprimidos e convalescentes prestadas em residências coletivas e particulares;871;Atividades de assistência a idosos, deficientes físicos, imunodeprimidos e convalescentes, e de infraestrutura e apoio a pacientes prestadas em residências coletivas e particulares;87;ATIVIDADES DE ATENÇÃO À SAÚDE HUMANA INTEGRADAS COM ASSISTÊNCIA SOCIAL, PRESTADAS EM RESIDÊNCIAS COLETIVAS E PARTICULARES;RUA PEDRO CAVATONI 300;RUA;PEDRO CAVATONI;300;;V N CACHOEIRINHA;02874100;7107;SAO PAULO;;;SP;;;;;;;;;;;16;;05;0;;;N;;;1;1;;Religião;Religião;;;;;;;;;;4 Estrelas;RUA PEDRO CAVATONI 300, JARDIM DOS FRANCOS, SAO PAULO, SP, 02874100;-46,6786141939996;-23,4579289359996
00000087000105;Matriz;ASSOCIACAO DE KARATE TSUTIYA;;3;;2012-08-22;21;PEDIDO DE BAIXA INDEFERIDA;3999;Associação Privada;1994-06-23;1994;9313100;Atividades de condicionamento físico;93131;Atividades de condicionamento físico;931;Atividades esportivas;93;ATIVIDADES ESPORTIVAS E DE RECREAÇÃO E LAZER;RUA ANTONIO G DE OLIVEIRA 229;RUA;ANTONIO G DE OLIVEIRA;229;;VILA IORIO;02965000;7107;SAO PAULO;;;SP;;;;;;;;;;;16;;05;0;;;N;;;1;1;;Cultura e recreação;Esportes e recreação;;;;;;;;;;4 Estrelas;RUA ANTONIO GOMES DE OLIVEIRA 229, VILA IÓRIO, SAO PAULO, SP, 02965000;-46,7089423139996;-23,4845952139996
00000099000121;Matriz;ASSOCIACAO PERUS DE KARATE SHOTOKAN;;4;;2018-10-04;63;OMISSÃO DE DECLARAÇÕES;3999;Associação Privada;1994-03-27;1994;9312300;Clubes sociais, esportivos e similares;93123;Clubes sociais, esportivos e similares;931;Atividades esportivas;93;ATIVIDADES ESPORTIVAS E DE RECREAÇÃO E LAZER;RUA JOAO JOSE DE GODOI 21;RUA;JOAO JOSE DE GODOI;21;;PERUS;05203220;7107;SAO PAULO;;;SP;;;;;;;;;;;16;;05;0;;;N;;;1;1;;Cultura e recreação;Esportes e recreação;;;;;;;;;;4 Estrelas;RUA JOAO JOSE DE GODOI 21, VILA FANTON, SAO PAULO, SP, 05203220;-46,7492238799996;-23,4048313789996
00000104000104;Matriz;INSTITUTO GRANDE VITORIA;INSTITUTO GRANDE VITORIA - UNIDADE SEDE;2;;2019-10-07;00;;3999;Associação Privada;1994-06-28;1994;8800600;Serviços de assistência social sem alojamento;88006;Serviços de assistência social sem alojamento;880;Serviços de assistência social sem alojamento;88;SERVIÇOS DE ASSISTÊNCIA SOCIAL SEM ALOJAMENTO;RUA BARUARE 76;RUA;BARUARE;76;;PERUS;05223090;7107;SAO PAULO;;;SP;;;;11;31046383;11;31058573;11;31058573;fisconta@terra.com.br;16;;05;0;;;N;;;1;1;;Assistência social;Assistência social;;;;;;;;;;4 Estrelas;RUA BARUARE 76, JARDIM ADELFIORE, SAO PAULO, SP, 05223090;-46,7392932809996;-23,4090638119996
00000104000287;Filial;INSTITUTO GRANDE VITORIA;C.E.I. ''GRANDE VITORIA'' - UNIDADE 1;2;;2019-10-07;00;;3999;Associação Privada;2012-07-31;2012;8511200;Educação infantil - creche;85112;Educação infantil - creche;851;Educação infantil e ensino fundamental;85;EDUCAÇÃO;RUA DOM LINO DEODATO DE CARVALHO 312;RUA;DOM LINO DEODATO DE CARVALHO;312;;PERUS;05208060;7107;SAO PAULO;;;SP;;;;11;31046383;11;31058573;11;31058573;fisconta@terra.com.br;16;;05;0;;;;;;1;1;;Educação e pesquisa;Educação infantil;;;;;;;;;;4 Estrelas;RUA DOM LINO DEODATO DE CARVALHO 312, VILA PERUS, SAO PAULO, SP, 05208060;-46,7537219769996;-23,4117631669996
00000104000368;Filial;INSTITUTO GRANDE VITORIA;C.E.I. 'ALBERTINA DE SOUSA' - UNIDADE 2;2;;2019-10-07;00;;3999;Associação Privada;2014-08-27;2014;8511200;Educação infantil - creche;85112;Educação infantil - creche;851;Educação infantil e ensino fundamental;85;EDUCAÇÃO;RUA JESUINO CASSIA DE LUSTOSA 84;RUA;JESUINO CASSIA DE LUSTOSA;84;;VILA PERUS;05208030;7107;SAO PAULO;;;SP;;;;11;31046383;11;31058573;11;31058573;FISCONTA@TERRA.COM.BR;16;;05;0;;;;;;1;1;;Educação e pesquisa;Educação infantil;;;;;;;;;;4 Estrelas;RUA JESUINO CASSIA DE LUSTOSA 84, VILA PERUS, SAO PAULO, SP, 05208030;-46,7544651289996;-23,4127729819996
00000113000197;Matriz;ASSOCIACAO GRUPO DE MAES SOLIDARIAS BEM VIVER;;4;;2018-09-06;63;OMISSÃO DE DECLARAÇÕES;3999;Associação Privada;1994-06-30;1994;9430800;Atividades de associações de defesa de direitos sociais;94308;Atividades de associações de defesa de direitos sociais;943;Atividades de associações de defesa de direitos sociais;94;ATIVIDADES DE ORGANIZAÇÕES ASSOCIATIVAS;AVENIDA ELISEO TEIXEIRA LEITE 7511;AVENIDA;ELISEO TEIXEIRA LEITE;7511;SALA  01;PARADA DE TAIPAS;02810000;7107;SAO PAULO;;;SP;;;;11;39931162;;;;;juceleness@superig.com.br;16;;05;0;;;N;;;1;1;;Desenvolvimento e defesa de direitos e interesses;Desenvolvimento e defesa de direitos;;;;;;;;;;4 Estrelas;AVENIDA ELISIO TEIXEIRA LEITE 7511, SÍTIO MORRO GRANDE, SAO PAULO, SP, 02810000;-46,7176498849996;-23,4365068759996
00000113000278;Filial;ASSOCIACAO GRUPO DE MAES SOLIDARIAS BEM VIVER;CENTRO DE EDUCACAO INFANTIL 15 DE AGOSTO;4;;2018-09-06;63;OMISSÃO DE DECLARAÇÕES;3999;Associação Privada;2013-08-14;2013;8511200;Educação infantil - creche;85112;Educação infantil - creche;851;Educação infantil e ensino fundamental;85;EDUCAÇÃO;AVENIDA ELISEO TEIXEIRA LEITE 7511;AVENIDA;ELISEO TEIXEIRA LEITE;7511;CASA  29;PARADA DE TAIPAS;02810000;7107;SAO PAULO;;;SP;;;;11;39237692;11;51695802;11;39237692;cris.somater@hotmail.com;16;;05;0;;;;;;1;1;;Educação e pesquisa;Educação infantil;;;;;;;;;;4 Estrelas;AVENIDA ELISIO TEIXEIRA LEITE 7511, SÍTIO MORRO GRANDE, SAO PAULO, SP, 02810000;-46,7176498849996;-23,4365068759996
00000113000359;Filial;ASSOCIACAO GRUPO DE MAES SOLIDARIAS BEM VIVER;CENTRO DE EDUCAO INFANTIL JULIA NASCIMENTO;4;;2018-09-06;63;OMISSÃO DE DECLARAÇÕES;3999;Associação Privada;2013-08-14;2013;8511200;Educação infantil - creche;85112;Educação infantil - creche;851;Educação infantil e ensino fundamental;85;EDUCAÇÃO;RUA MARCONDES DE MOURA  E COSTA 91;RUA;MARCONDES DE MOURA  E COSTA;91;;PERUS;05206180;7107;SAO PAULO;;;SP;;;;11;39931162;;;;;jucelene@kajcontabilidade.com.br;16;;05;0;;;;;;1;1;;Educação e pesquisa;Educação infantil;;;;;;;;;;4 Estrelas;RUA MARCONDES DE MOURA E COSTA 91, VILA PERUS, SAO PAULO, SP, 05206180;-46,7661496369996;-23,4058049299996
00000115000186;Matriz;"GRUPO DE MAES SOLIDARIA ""JOSE FRANCISCO""";;4;;2018-10-04;63;OMISSÃO DE DECLARAÇÕES;3999;Associação Privada;1994-06-30;1994;9430800;Atividades de associações de defesa de direitos sociais;94308;Atividades de associações de defesa de direitos sociais;943;Atividades de associações de defesa de direitos sociais;94;ATIVIDADES DE ORGANIZAÇÕES ASSOCIATIVAS;RUA JOSE FRANCISCO 20;RUA;JOSE FRANCISCO;20;;VILA SOUZA;02881000;7107;SAO PAULO;;;SP;;;;;;;;;;;16;;05;0;;;N;;;1;1;;Desenvolvimento e defesa de direitos e interesses;Desenvolvimento e defesa de direitos;;;;;;;;;;4 Estrelas;RUA JOSE PEDRESCHI 20, VILA FRANCOS, SAO PAULO, SP, 02881000;-46,6722499429996;-23,4671681609996
00000126000166;Matriz;ASSOCIACAO COMUNITARIA E DEFESA DA QUALIDADE DE MORADIA - ACOMOR;;2;;2018-12-19;00;;3999;Associação Privada;1994-06-07;1994;9430800;Atividades de associações de defesa de direitos sociais;94308;Atividades de associações de defesa de direitos sociais;943;Atividades de associações de defesa de direitos sociais;94;ATIVIDADES DE ORGANIZAÇÕES ASSOCIATIVAS;RUA CAMPINORTE 161;RUA;CAMPINORTE;161;;PIRITUBA;02981040;7107;SAO PAULO;;;SP;;;;;;;;;;;16;;05;0;;;N;;;1;1;;Desenvolvimento e defesa de direitos e interesses;Desenvolvimento e defesa de direitos;;;;;;;;;;4 Estrelas;RUA CAMPINORTE 161, JARDIM SYDNEY, SAO PAULO, SP, 02981040;-46,7167925029996;-23,4609508999996
00000126000247;Filial;ASSOCIACAO COMUNITARIA E DEFESA DA QUALIDADE DE MORADIA - ACOMOR;;2;;2018-12-19;00;;3999;Associação Privada;1999-04-07;1999;9430800;Atividades de associações de defesa de direitos sociais;94308;Atividades de associações de defesa de direitos sociais;943;Atividades de associações de defesa de direitos sociais;94;ATIVIDADES DE ORGANIZAÇÕES ASSOCIATIVAS;RUA NEPTUNO 130;RUA;NEPTUNO;130;;VILA CELESTE;08597040;6563;ITAQUAQUECETUBA;;;SP;;;;;;;;;;;16;;05;0;;;;;;1;1;;Desenvolvimento e defesa de direitos e interesses;Desenvolvimento e defesa de direitos;;;;;;;;;;4 Estrelas;RUA NETUNO 130, ITAQUAQUECETUBA, SP;-46,3169643139996;-23,4593896369996
00000130000124;Matriz;CLUBE DAS MAES CARENTES DA SHEAB I;;2;;2005-11-03;00;;3999;Associação Privada;1994-07-01;1994;8511200;Educação infantil - creche;85112;Educação infantil - creche;851;Educação infantil e ensino fundamental;85;EDUCAÇÃO;RUA DULCE GARCIA AQUILINO 09;RUA;DULCE GARCIA AQUILINO;09;;BRASILANDIA;02845030;7107;SAO PAULO;;;SP;;;;11;39757418;;;11;38593843;NAVARRO.RIBEIRO@SUPERIG.COM.BR;16;;05;0;;;N;;;1;1;;Educação e pesquisa;Educação infantil;;;;;;;;;;4 Estrelas;RUA DULCE GARCIA AQUILINO 9, BRASILÂNDIA, SAO PAULO, SP, 02845030;-46,6904488259996;-23,4694091179996
00000132000113;Matriz;ASSOCIACAO MOUNT BLUE 3.000;;2;;2018-12-19;00;;3999;Associação Privada;1994-07-01;1994;9430800;Atividades de associações de defesa de direitos sociais;94308;Atividades de associações de defesa de direitos sociais;943;Atividades de associações de defesa de direitos sociais;94;ATIVIDADES DE ORGANIZAÇÕES ASSOCIATIVAS; IGARAPE PRIMAVERA 286;;IGARAPE PRIMAVERA;286;;JD HEBROM;02320090;7107;SAO PAULO;;;SP;;;;;;;;;;;16;;05;0;;;N;;;1;1;;Desenvolvimento e defesa de direitos e interesses;Desenvolvimento e defesa de direitos;;;;;;;;;;4 Estrelas;RUA SABINO GONCALVES DA CRUZ 286, PARQUE CASA DE PEDRA, SAO PAULO, SP, 02320090;-46,5973319729996;-23,4503605889996
00000138000190;Matriz;INSTITUTO ESTER GOMES;INSTITUTO ESTER GOMES - UNIDADE SEDE;2;;2005-11-03;00;;3999;Associação Privada;1994-04-07;1994;8800600;Serviços de assistência social sem alojamento;88006;Serviços de assistência social sem alojamento;880;Serviços de assistência social sem alojamento;88;SERVIÇOS DE ASSISTÊNCIA SOCIAL SEM ALOJAMENTO;ESTRADA DE TAIPAS 1006;ESTRADA;DE TAIPAS;1006;;JARDIM RINCAO;02991000;7107;SAO PAULO;;;SP;;;;11;31046383;11;31058573;11;31058573;fisconta@terra.com.br;16;;05;0;;;N;;;1;1;;Assistência social;Assistência social;1;;;;;;;;;4 Estrelas;ESTRADA DAS TAIPAS 1006, PARQUE NAÇÕES UNIDAS, SAO PAULO, SP, 02996055;-46,7347756749996;-23,4483417709996
00000138000271;Filial;INSTITUTO ESTER GOMES;CEI GABRIELA MISTRAL;2;;2014-06-02;00;;3999;Associação Privada;2014-06-02;2014;8511200;Educação infantil - creche;85112;Educação infantil - creche;851;Educação infantil e ensino fundamental;85;EDUCAÇÃO;PRACA FLOR DA IMPERATRIZ 23;PRACA;FLOR DA IMPERATRIZ;23;;VILA PERUS;05211220;7107;SAO PAULO;;;SP;;;;11;39423441;11;80963273;11;39423441;INSTITUTOESTERGOMES@GMAIL.COM;16;;05;0;;;;;;1;1;;Educação e pesquisa;Educação infantil;14;;;;;;;;;4 Estrelas;PRAÇA FLOR DA IMPERATRIZ 23, VILA PERUS, SAO PAULO, SP, 05211220;-46,7523255889996;-23,4098943809996
00000138000352;Filial;INSTITUTO ESTER GOMES;CEI TIA DORINHA;2;;2014-06-02;00;;3999;Associação Privada;2014-06-02;2014;8511200;Educação infantil - creche;85112;Educação infantil - creche;851;Educação infantil e ensino fundamental;85;EDUCAÇÃO;RUA AGUIA 59;RUA;AGUIA;59;;JARDIM SHANGRILA ZONA NORTE;02990160;7107;SAO PAULO;;;SP;;;;11;39423441;11;80963273;11;39423441;INSTITUTOESTERGOMES@GMAIL.COM;16;;05;0;;;;;;1;1;;Educação e pesquisa;Educação infantil;14;;;;;;;;;4 Estrelas;RUA AGUIA 59, JARDIM SHANGRILÁ (ZONA NORTE), SAO PAULO, SP, 02990160;-46,7289876029996;-23,4276093719996
00000138000433;Filial;INSTITUTO ESTER GOMES;CENTRO DE EDUCACAO INFANTIL - CEI ESTRELA DO MAR;2;;2016-07-20;00;;3999;Associação Privada;2016-07-20;2016;8511200;Educação infantil - creche;85112;Educação infantil - creche;851;Educação infantil e ensino fundamental;85;EDUCAÇÃO;ESTRADA DO CONGO 217;ESTRADA;DO CONGO;217;;JARDIM PIRITUBA;02984090;7107;SAO PAULO;;;SP;;;;11;39423441;;;11;33927462;ALLCONTABILIDADE@ALLCONTABILIDADE.COM.BR;16;;05;0;;;;;;1;1;;Educação e pesquisa;Educação infantil;17;;;;;;;;;4 Estrelas;ESTRADA DO CONGO 217, JARDIM PIRITUBA, SAO PAULO, SP, 02984090;-46,7217159179996;-23,4446057509996
00000140000160;Matriz;CENTRO COMUNITARIO E SOCIAL VILA OPERARIA;;2;;2019-10-07;00;;3999;Associação Privada;1994-07-04;1994;9430800;Atividades de associações de defesa de direitos sociais;94308;Atividades de associações de defesa de direitos sociais;943;Atividades de associações de defesa de direitos sociais;94;ATIVIDADES DE ORGANIZAÇÕES ASSOCIATIVAS;RUA ANA MOREIRA DOS SANTOS MATTOS 173;RUA;ANA MOREIRA DOS SANTOS MATTOS;173;"CONJ: PAULISTANO;";JARDIM PAULISTANO (ZONA NORTE);02813000;7107;SAO PAULO;;;SP;;;;11;80801370;11;94145235;;;JP.MIGUEL@HOTMAIL.COM;16;;05;0;;;N;;;1;1;;Desenvolvimento e defesa de direitos e interesses;Desenvolvimento e defesa de direitos;;;;;;;;;;4 Estrelas;RUA ANA MOREIRA DOS SANTOS MATTOS 173, JARDIM PAULISTANO (ZONA NORTE), SAO PAULO, SP, 02813000;-46,7119486269996;-23,4535504799996
